drug_id,country,drug_group,year,kg
1,South Africa,ecstasy,2021,100
2,South Africa,ecstasy,2021,10
3,South Africa,amphetaminetype,2021,2000
4,South Africa,amphetaminetype,2021,45991
5,South Africa,amphetaminetype,2021,600
6,South Africa,cannabistype,2021,6978
7,South Africa,cannabistype,2021,1000
8,South Africa,cannabistype,2021,34460
9,South Africa,cocainetype,2021,34
10,South Africa,cocainetype,2021,528679
11,South Africa,hallucinogens,2021,10000
12,South Africa,nps,2021,25868
13,South Africa,opioids,2021,15826
14,South Africa,opioids,2021,150
15,South Africa,sedatives,2021,30900
16,South Africa,sedatives,2021,4977
17,South Africa,ecstasy,2020,16
18,South Africa,cannabistype,2020,325134
19,South Africa,cannabistype,2020,7600
20,South Africa,cannabistype,2020,1245
21,South Africa,cocainetype,2020,300
22,South Africa,cocainetype,2020,1
23,South Africa,cocainetype,2020,100
24,South Africa,nps,2020,26357
25,South Africa,ecstasy,2018,600
26,South Africa,amphetaminetype,2018,300
27,South Africa,amphetaminetype,2018,11100
28,South Africa,cannabistype,2018,691500
29,South Africa,cannabistype,2018,400
30,South Africa,cannabistype,2018,80800
31,South Africa,cannabistype,2018,200
32,South Africa,cannabistype,2018,100
33,South Africa,cocainetype,2018,13200
34,South Africa,nps,2018,10800
35,South Africa,nps,2018,296900
36,South Africa,nps,2018,1000
37,South Africa,opioids,2018,7600
38,South Africa,ecstasy,2017,900
39,South Africa,amphetaminetype,2017,48300
40,South Africa,amphetaminetype,2017,26100
41,South Africa,cocainetype,2017,21000
42,South Africa,hallucinogens,2017,400
43,South Africa,opioids,2017,13800
44,South Africa,precursors,2017,37700
45,South Africa,sedatives,2017,433500
46,Jamaica,cannabistype,2021,1500000
47,Jamaica,cocainetype,2021,29000
48,Jamaica,cannabistype,2020,2600000
49,Jamaica,cocainetype,2020,67000
50,Jamaica,cannabistype,2019,2400000
51,Jamaica,cocainetype,2019,163000
52,Trinidad and Tobago,cannabistype,2021,348690
53,Trinidad and Tobago,cannabistype,2021,251070
