country_id,country,legal_descriminalized,year_-3,year_-2,year_-1,year_0,year_1,year_2,year_3
22,Portugal,1,1998,1999,2000,2001,2002,2003,2004
5,Belgium,1,2000,2001,2002,2003,2004,2005,2006
2,Argentina,1,2006,2007,2008,2009,2010,2011,2012
26,Switzerland,2,2009,2010,2011,2012,2013,2014,2015
29,Uruguay,2,2010,2011,2012,2013,2014,2015,2016
13,Czechia,1,2010,2011,2012,2013,2014,2015,2016
23,Slovenia,1,2011,2012,2013,2014,2015,2016,2017
9,Chile,1,2012,2013,2014,2015,2016,2017,2018
18,Jamaica,2,2012,2013,2014,2015,2016,2017,2018
4,Austria,1,2013,2014,2015,2016,2017,2018,2019
10,Colombia,1,2013,2014,2015,2016,2017,2018,2019
17,Italy,1,2013,2014,2015,2016,2017,2018,2019
6,Belize,1,2014,2015,2016,2017,2018,2019,2020
25,Spain,1,2014,2015,2016,2017,2018,2019,2020
24,South Africa,2,2015,2016,2017,2018,2019,2020,2021
1,Antigua and Barbuda,2,2015,2016,2017,2018,2019,2020,2021
8,Canada,2,2015,2016,2017,2018,2019,2020,2021
7,Bermuda,1,2015,2016,2017,2018,2019,2020,2021
28,Trinidad and Tobago,1,2016,2017,2018,2019,2020,2021,2022
12,Croatia,1,2016,2017,2018,2019,2020,2021,2022
3,Australia,2,2016,2017,2018,2019,2020,2021,2022
16,Israel,1,2016,2017,2018,2019,2020,2021,2022
14,Dominica,1,2017,2018,2019,2020,2021,2022,2023
15,Ecuador,1,2017,2018,2019,2020,2021,2022,2023
20,Malta,2,2018,2019,2020,2021,2022,2023,2024
21,Mexico,2,2018,2019,2020,2021,2022,2023,2024
11,Costa Rica,1,2019,2020,2021,2022,2023,2024,2025
27,Thailand,2,2019,2020,2021,2022,2023,2024,2025
19,Luxembourg,2,2020,2021,2022,2023,2024,2025,2026
