prison_id,country,indicators,crime_category,year,count
1,Costa Rica,entering,intentional homicide,2016,173
2,Dominica,entering,intentional homicide,2016,65
3,Italy,entering,intentional homicide,2016,1443
4,Mexico,entering,intentional homicide,2016,9869
5,Antigua and Barbuda,entering,intentional homicide,2017,6
6,Bermuda,entering,intentional homicide,2017,10
7,Switzerland,entering,intentional homicide,2017,52
8,Chile,entering,intentional homicide,2017,270
9,Costa Rica,entering,intentional homicide,2017,177
10,Dominica,entering,intentional homicide,2017,35
11,Italy,entering,intentional homicide,2017,1395
12,Mexico,entering,intentional homicide,2017,11835
13,Malta,entering,intentional homicide,2017,11
14,Antigua and Barbuda,entering,intentional homicide,2018,3
15,Belize,entering,intentional homicide,2018,91
16,Bermuda,entering,intentional homicide,2018,2
17,Switzerland,entering,intentional homicide,2018,55
18,Chile,entering,intentional homicide,2018,406
19,Dominica,entering,intentional homicide,2018,8
20,Italy,entering,intentional homicide,2018,1384
21,Mexico,entering,intentional homicide,2018,11118
22,Malta,entering,intentional homicide,2018,25
23,Belize,entering,intentional homicide,2019,55
24,Bermuda,entering,intentional homicide,2019,1
25,Switzerland,entering,intentional homicide,2019,58
26,Chile,entering,intentional homicide,2019,1394
27,Colombia,entering,intentional homicide,2019,5934
28,Dominica,entering,intentional homicide,2019,6
29,Jamaica,entering,intentional homicide,2019,50
30,Mexico,entering,intentional homicide,2019,12730
31,Malta,entering,intentional homicide,2019,11
32,Thailand,entering,intentional homicide,2019,2815
33,Antigua and Barbuda,entering,intentional homicide,2020,2
34,Belize,entering,intentional homicide,2020,50
35,Switzerland,entering,intentional homicide,2020,67
36,Chile,entering,intentional homicide,2020,1477
37,Colombia,entering,intentional homicide,2020,1045
38,Dominica,entering,intentional homicide,2020,14
39,Jamaica,entering,intentional homicide,2020,37
40,Mexico,entering,intentional homicide,2020,11310
41,Malta,entering,intentional homicide,2020,17
42,Thailand,entering,intentional homicide,2020,2298
43,Switzerland,entering,intentional homicide,2021,29
44,Chile,entering,intentional homicide,2021,1357
45,Colombia,entering,intentional homicide,2021,1284
46,Czechia,entering,intentional homicide,2021,988
47,Italy,entering,intentional homicide,2021,1174
48,Jamaica,entering,intentional homicide,2021,52
49,Mexico,entering,intentional homicide,2021,12806
50,Malta,entering,intentional homicide,2021,6
51,Costa Rica,entering,drug possession,2016,345
52,Mexico,entering,drug possession,2016,6668
53,Bermuda,entering,drug possession,2017,8
54,Chile,entering,drug possession,2017,359
55,Costa Rica,entering,drug possession,2017,455
56,Mexico,entering,drug possession,2017,8538
57,Malta,entering,drug possession,2017,6
58,Antigua and Barbuda,entering,drug possession,2018,5
59,Belize,entering,drug possession,2018,79
60,Bermuda,entering,drug possession,2018,8
61,Chile,entering,drug possession,2018,296
62,Dominica,entering,drug possession,2018,14
63,Luxembourg,entering,drug possession,2018,18
64,Mexico,entering,drug possession,2018,9444
65,Malta,entering,drug possession,2018,1
66,Belize,entering,drug possession,2019,106
67,Bermuda,entering,drug possession,2019,7
68,Chile,entering,drug possession,2019,55
69,Colombia,entering,drug possession,2019,13209
70,Dominica,entering,drug possession,2019,30
71,Jamaica,entering,drug possession,2019,16
72,Mexico,entering,drug possession,2019,16258
73,Malta,entering,drug possession,2019,1
74,Thailand,entering,drug possession,2019,24379
75,Trinidad and Tobago,entering,drug possession,2019,483
76,Belize,entering,drug possession,2020,61
77,Chile,entering,drug possession,2020,125
78,Colombia,entering,drug possession,2020,6339
79,Dominica,entering,drug possession,2020,12
80,Jamaica,entering,drug possession,2020,14
81,Mexico,entering,drug possession,2020,10519
82,Malta,entering,drug possession,2020,1
