vic_id,country,year,count
1,Australia,1998,334
2,Austria,1998,77
3,Canada,1998,559
4,Switzerland,1998,76
5,Colombia,1998,23089
6,Costa Rica,1998,224
7,Czechia,1998,174
8,Dominica,1998,9
9,Ecuador,1998,1643
10,Spain,1998,522
11,Croatia,1998,105
12,Israel,1998,147
13,Italy,1998,889
14,Jamaica,1998,859
15,Luxembourg,1998,4
16,Mexico,1998,13656
17,Malta,1998,5
18,Portugal,1998,125
19,Slovenia,1998,14
20,Thailand,1998,5361
21,Uruguay,1998,244
22,South Africa,1998,25127
23,Australia,1999,385
24,Austria,1999,60
25,Bermuda,1999,2
26,Canada,1999,539
27,Switzerland,1999,89
28,Colombia,1999,24355
29,Costa Rica,1999,245
30,Czechia,1999,172
31,Dominica,1999,7
32,Ecuador,1999,1682
33,Spain,1999,486
34,Croatia,1999,111
35,Israel,1999,137
36,Italy,1999,819
37,Jamaica,1999,854
38,Luxembourg,1999,6
39,Mexico,1999,12249
40,Malta,1999,10
41,Portugal,1999,109
42,Slovenia,1999,25
43,Thailand,1999,5052
44,Uruguay,1999,216
45,South Africa,1999,22604
46,Antigua and Barbuda,2000,5
47,Australia,2000,362
48,Austria,2000,82
49,Belgium,2000,212
50,Belize,2000,41
51,Canada,2000,546
52,Switzerland,2000,69
53,Colombia,2000,26539
54,Costa Rica,2000,249
55,Czechia,2000,191
56,Dominica,2000,2
57,Ecuador,2000,1833
58,Spain,2000,553
59,Croatia,2000,101
60,Israel,2000,154
61,Italy,2000,766
62,Jamaica,2000,887
63,Luxembourg,2000,4
64,Mexico,2000,10737
65,Malta,2000,4
66,Portugal,2000,116
67,Slovenia,2000,36
68,Thailand,2000,5142
69,Trinidad and Tobago,2000,120
70,Uruguay,2000,214
71,South Africa,2000,21758
72,Argentina,2001,3129
73,Antigua and Barbuda,2001,7
74,Australia,2001,347
75,Austria,2001,70
76,Belgium,2001,282
77,Belize,2001,64
78,Bermuda,2001,3
79,Canada,2001,554
80,Switzerland,2001,86
81,Colombia,2001,27840
82,Costa Rica,2001,257
83,Czechia,2001,135
84,Dominica,2001,1
85,Ecuador,2001,1658
86,Spain,2001,577
87,Croatia,2001,81
88,Israel,2001,193
89,Italy,2001,709
90,Jamaica,2001,1139
91,Luxembourg,2001,9
92,Mexico,2001,10285
93,Malta,2001,6
94,Portugal,2001,105
